Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
153,Achat Soirée Mimile 2020,à boire,3,14/07/2020,Chez Hourlier,"12,00€"
158,Anniversaire Hourlier 2014,à boire,1,24/07/2014,Orleans,"0,00€"
158,Anniversaire Hourlier 2014,à boire,2,24/07/2014,Orleans,"0,00€"
159,Noël Hourlier 2012,à boire,1,24/12/2012,Orleans,"0,00€"
160,SVI Dec 21,à boire,2,02/12/2021,,"13,00€"
164,Achat 1j1v Dec 2015,à boire,1,18/12/2015,Orleans,"34,00€"
166,Achat 1j1v Oct 2017,à boire,1,01/10/2017,Clayette 2,"32,00€"
166,Achat 1j1v Oct 2017,à boire,1,01/10/2017,Clayette 2,"32,00€"
167,Achat Guillaume Aout,à boire,1,15/10/2016,0,"22,00€"
167,Achat Guillaume Aout,à boire,2,15/10/2016,0,"22,00€"
168,FAV Monop 2016,à boire,1,10/09/2016,0,"22,00€"
169,Achat Papa Mars 21,à boire,1,31/03/2021,0,"9,50€"
169,Achat Papa Mars 21,à boire,2,31/03/2021,0,"9,50€"
170,Achat Papa,à boire,1,22/02/2016,0,"14,00€"
170,Achat Papa,à boire,2,22/02/2016,0,"14,00€"
176,SVI Nov 2019,à boire,1,29/11/2019,0,"14,00€"
176,SVI Nov 2019,à boire,2,29/11/2019,0,"14,00€"
177,SVI Nov 2019,à boire,1,29/11/2019,0,"14,00€"
177,SVI Nov 2019,à boire,1,29/11/2019,0,"14,00€"
179,Achat UnP St Emilion Avril 14,à boire,2,16/04/2014,Clayette 3,"15,00€"
180,Achat 1j1v Avril 2018,à boire,1,25/04/2018,0,"60,00€"
